1	745.224372	1.176e-30	177.2	0.0155	0.183	6581.0562	0.41	0.0
1	745.224382	3.528e-30	177.2	0.0155	0.183	6581.0562	0.41	0.0
1	745.681863	3.554e-30	0.0227	0.0366	0.25	4643.8696	0.24	-0.01318
1	745.948374	3.989e-29	0.001472	0.0192	0.25	3583.3706	0.24	-0.005822
1	746.002614	1.707e-27	0.8898	0.0443	0.333	4071.7332	0.56	-0.004564
1	746.122481	1.332e-29	0.001475	0.0177	0.25	3583.3726	0.24	-0.005615
1	746.130082	4.486e-29	0.1475	0.0294	0.208	4564.1079	0.38	0.0038
1	746.217596	8.773e-29	0.01375	0.0213	0.235	3685.418	0.36	-0.0031
1	746.229005	2.632e-28	0.01375	0.0222	0.235	3685.4065	0.36	-0.0028
1	746.977857	4.172e-30	8.36e-06	0.0242	0.281	2740.4204	0.48	-0.009065
1	747.645417	9.496e-29	1.743e-06	0.0336	0.265	1774.6154	0.39	-0.0021
1	748.35518	8.037e-23	0.02346	0.0714	0.324	882.8904	0.67	0.00652
1	748.627071	2.292e-27	0.8023	0.0445	0.352	3739.5188	0.57	-0.004228
1	748.821416	1.998e-29	0.0026	0.0866	0.371	3736.1707	0.61	0.000812
1	749.481523	6.888e-27	0.8018	0.0459	0.352	3738.6091	0.57	-0.003564
1	749.741524	1.791e-27	7.86	0.0352	0.235	4382.7798	0.36	0.016
1	750.161065	1.686e-30	140.9	0.0075	0.172	6467.4033	0.41	0.0
1	750.161268	5.058e-30	140.9	0.0075	0.172	6467.4033	0.41	0.0
1	751.170133	1.195e-29	0.02911	0.0519	0.25	4442.7114	0.24	-0.021366
1	751.184641	2.545e-24	6.83	0.0404	0.229	2872.5808	0.37	-0.00974
1	751.647595	9.37e-29	0.02671	0.0201	0.221	4045.3206	0.36	-0.0028
1	751.68431	3.124e-29	0.02671	0.02	0.221	4045.2839	0.36	-0.0028
1	751.918082	5.015e-30	5.699e-05	0.0278	0.25	3127.8015	0.24	-0.006187
1	751.979939	3.706e-29	0.006333	0.0214	0.235	3685.418	0.36	-0.005592
1	752.040046	5.554e-28	0.1437	0.025	0.195	3812.0449	0.41	-0.003692
1	752.050701	1.105e-30	0.000131	0.0062	0.172	3675.1116	0.41	-0.0018
1	752.264679	5.588e-23	3.78	0.0296	0.23	2327.9143	0.43	-0.00315
1	752.887909	2.325e-29	7.48	0.0353	0.25	5477.0049	0.36	0.0103
1	752.889653	3.056e-29	1.1	0.0691	0.298	4752.7324	0.48	0.0058
1	753.17377	1.732e-27	0.149	0.0184	0.195	3810.9341	0.41	-0.001792
1	753.291584	1.197e-29	2.404e-06	0.0281	0.298	2471.2546	0.51	-0.005918
1	753.569814	1.984e-30	0.0001723	0.0121	0.265	3512.4038	0.39	-0.004361
1	753.57187	5.95e-30	0.0001722	0.0121	0.265	3512.4038	0.39	-0.004354
1	753.893494	3.814e-23	0.0692	0.0603	0.29	1255.9116	0.67	-0.00737
1	754.155082	2.656e-30	0.004061	0.0488	0.333	4062.8352	0.56	-0.001048
1	754.259338	1.036e-30	0.07988	0.0452	0.25	4941.6221	0.24	0.0018
1	754.638371	1.146e-22	0.06919	0.0589	0.27	1255.1667	0.66	-0.00553
1	754.864396	4.522e-27	7.627	0.0277	0.226	4183.3892	0.36	0.0097
1	754.934761	5.438e-26	0.1567	0.0637	0.347	2771.6902	0.56	-0.0024
1	755.323191	2.192e-29	0.0004223	0.0656	0.315	3139.4756	0.56	-0.010607
1	755.47574	2.911e-25	0.441	0.0593	0.338	2904.4285	0.48	0.0112
1	755.981425	1.86e-23	3.809	0.0262	0.198	2327.884	0.44	0.00526
1	756.364017	8.732e-30	0.04544	0.0164	0.208	4427.2251	0.38	-0.0016
1	756.469991	2.62e-29	0.04543	0.0164	0.208	4427.1191	0.38	-0.0016
1	756.766392	1.805e-29	5.464	0.0349	0.25	5236.4307	0.36	-0.0053
1	756.775212	2.33e-28	0.1522	0.0249	0.235	4184.8301	0.36	-0.003392
1	756.821649	3.303e-26	0.03186	0.0513	0.273	2872.2744	0.58	0.0169
1	757.028216	1.106e-30	0.01173	0.056	0.298	4480.3911	0.51	0.0112
1	757.045791	9.561e-27	0.003513	0.0687	0.371	2629.333	0.24	-0.011552
1	757.126056	1.903e-29	0.01464	0.0689	0.265	3959.2522	0.39	-0.012577
1	757.30501	1.156e-28	0.006672	0.0223	0.235	3685.4065	0.36	-0.005292
1	757.573812	2.639e-27	0.9538	0.0769	0.352	3967.4885	0.57	-0.004244
1	757.74676	3.236e-30	0.0001298	0.0062	0.172	3675.1101	0.41	-0.0018
1	757.874883	1.911e-30	0.1428	0.0591	0.315	5107.729	0.51	-0.0074
1	758.101153	1.2e-30	0.1545	0.073	0.281	5255.3457	0.39	0.008
1	758.234787	7.864e-29	0.1536	0.0249	0.235	4183.3872	0.36	-0.001192
1	758.735931	1.758e-30	124.2	0.0075	0.161	6664.1382	0.41	0.0
1	759.166932	1.426e-26	0.002516	0.0794	0.378	2146.2639	0.61	0.0047
1	760.112804	1.449e-30	161.5	0.0075	0.172	6747.4629	0.41	0.0
1	760.226066	6.019e-30	0.07071	0.0208	0.195	4830.8921	0.41	0.0
1	760.350867	1.706e-28	0.01821	0.0227	0.221	3824.9963	0.36	-0.005792
1	760.418093	1.959e-25	0.6809	0.0468	0.28	3072.7263	0.48	0.0113
1	760.423077	1.517e-24	0.0004245	0.07	0.293	1114.55	0.76	0.0042
1	760.505179	2.007e-30	0.07067	0.0208	0.195	4830.6128	0.41	0.0
1	760.548686	4.842e-27	0.0006016	0.0518	0.304	2142.5967	0.48	-0.017223
1	760.711185	1.027e-24	0.0006867	0.0634	0.261	1293.6342	0.77	0.00292
1	761.097857	3.693e-30	0.004651	0.0414	0.281	4265.9756	0.48	-0.001058
1	761.472553	1.259e-24	7.051	0.0572	0.27	3244.6008	0.47	0.01709
1	761.570558	1.327e-28	0.5077	0.0695	0.315	4268.2397	0.51	0.0128
1	761.74217	4.364e-29	1.938	0.068	0.281	5034.3867	0.39	0.0125
1	761.793974	2.834e-29	9.758e-06	0.0661	0.25	2629.333	0.24	-0.010652
1	761.930028	1.654e-25	0.1563	0.0532	0.308	2764.6975	0.56	-0.0034
1	762.401937	1.882e-30	0.007655	0.0851	0.333	4259.8789	0.56	-0.005968
1	763.456966	1.701e-27	0.0002263	0.0687	0.295	2337.667	0.57	0.0048
1	763.732588	1.169e-30	0.1032	0.0155	0.183	5255.4463	0.41	0.0
1	763.836469	1.246e-30	0.004739	0.0486	0.281	4265.9736	0.48	0.002949
1	763.96808	1.962e-28	1.308e-06	0.0171	0.265	1557.8436	0.39	-0.0005
1	764.052891	3.172e-27	9.539e-05	0.0655	0.336	2054.3447	0.51	-0.01239
1	764.106184	3.568e-30	0.004467	0.0372	0.315	4263.1499	0.51	-0.002996
1	764.438772	1.743e-30	2.983e-05	0.0542	0.221	3472.8801	0.38	-0.016192
1	764.71449	3.97e-30	21.04	0.0404	0.183	6108.2778	0.41	-0.0013
