1	668.923253	5.369e-22	0.01117	0.0743	0.34	586.2436	0.65	0.0069	5	5	5	2	4	3	18	767	62	95	62	41
1	669.567903	9.539e-30	0.005754	0.0667	0.333	3894.7986	0.57	0.0067	4	4	4	2	3	3	762	26	41	817	819	41
1	669.992974	9.915e-26	1.258	0.0642	0.373	3162.259	0.48	0.0058	5	5	5	2	4	3	18	767	61	95	819	41
1	670.067386	7.37e-28	0.04667	0.0175	0.195	3567.2524	0.41	-0.001692	3	4	4	2	3	3	762	26	44	817	101	44
1	670.112354	6.423e-23	5.694	0.0558	0.285	2414.7234	0.46	0.018	5	5	5	2	4	3	18	767	62	95	62	42
1	670.147293	2.334e-27	0.04926	0.0188	0.195	3567.1716	0.41	-0.003592	4	5	4	2	3	3	762	767	44	817	101	44
1	670.198989	3.998e-28	0.2408	0.0639	0.352	3894.1675	0.57	0.0072	4	4	4	2	3	3	762	26	41	817	819	41
1	670.254495	3.995e-30	85.62	0.0164	0.208	6198.6226	0.41	-0.0016	3	4	4	2	3	3	762	26	42	817	101	42
1	670.318162	1.199e-29	85.63	0.0164	0.208	6198.5693	0.41	-0.0016	3	4	4	2	3	3	762	26	42	817	101	42
1	670.521751	2.773e-27	2.938e-07	0.0756	0.248	920.1684	0.8	0.0029	5	5	5	2	4	3	18	767	62	95	62	41
1	670.818436	2.959e-28	0.001343	0.0623	0.235	2983.3953	0.36	-0.008492	4	4	4	2	3	3	762	26	44	817	101	44
1	670.990113	1.907e-29	0.03852	0.0511	0.352	4368.6367	0.57	-0.010752	4	4	4	2	3	3	762	26	41	817	819	38
1	671.095814	6.148e-30	0.03725	0.0495	0.352	4368.5459	0.57	-0.0098	4	4	4	2	3	3	762	26	41	817	819	38
1	671.360184	1.395e-22	5.488	0.0394	0.253	2246.885	0.35	0.011	5	5	5	5	4	3	18	767	56	95	62	56
1	671.378463	3.061e-26	0.09796	0.0498	0.218	2952.387	0.55	-0.0067	5	5	5	2	4	3	18	767	62	95	62	42
1	671.515996	8.492e-27	0.5589	0.0919	0.456	3255.3462	0.71	-0.002716	5	5	4	2	4	3	20	33	38	817	819	38
1	671.733401	1.133e-27	0.1299	0.0792	0.391	3722.731	0.62	-0.002428	5	5	4	2	4	3	20	33	38	817	819	38
1	671.75152	4.886e-30	70.35	0.0189	0.195	6353.4009	0.41	-0.0054	3	4	4	2	3	3	762	26	42	817	101	42
1	671.751601	2.504e-30	0.5689	0.0551	0.298	5175.9541	0.48	0.0113	4	4	4	2	3	3	762	26	41	817	819	41
1	671.772469	4.089e-25	1.448	0.0384	0.253	2915.8943	0.39	-0.0017	5	5	5	2	4	3	18	767	61	95	819	41
1	671.865724	2.526e-27	108.3	0.0343	0.154	4919.2534	0.25	0.0028	5	5	5	2	4	3	18	767	62	95	62	42
1	671.866134	7.58e-27	108.3	0.0343	0.154	4919.2529	0.25	0.0028	5	5	5	2	4	3	18	767	62	95	62	42
1	671.873685	2.038e-27	0.08573	0.0835	0.412	3482.0645	0.67	0.000364	5	5	4	2	4	3	20	33	41	817	819	41
1	671.885307	5.442e-24	0.003092	0.0681	0.37	1327.1101	0.77	0.00128	5	5	6	5	4	3	18	767	56	95	62	56
1	672.088156	2.996e-30	1.271e-05	0.0623	0.235	2983.3953	0.36	-0.008492	4	4	4	2	3	3	762	26	44	817	101	44
1	672.143971	5.267e-30	1.02e-06	0.0656	0.265	2300.6841	0.39	-0.0088	4	4	4	2	3	3	762	26	44	817	819	44
1	672.204861	1.258e-30	0.0001546	0.0164	0.183	3940.5845	0.41	-0.0023	4	4	4	2	3	3	762	26	44	817	101	44
1	672.242378	4.794e-30	0.1293	0.0504	0.235	4784.998	0.36	-0.0125	3	4	4	2	3	3	762	26	42	817	101	42
1	672.507651	1.696e-24	0.02882	0.0472	0.214	2073.5159	0.68	0.0017	5	5	5	2	4	3	18	767	62	95	62	41
1	672.672252	1.36e-27	159.5	0.0258	0.087	5339.6714	0.1	0.0	5	5	5	2	4	0	18	767	62	94	62	886
1	672.673109	4.602e-28	161.9	0.0288	0.221	5339.6699	0.38	0.0	3	4	4	2	3	0	762	26	45	817	101	886
1	673.141267	2.094e-30	0.0008467	0.0856	0.371	3784.6772	0.61	-0.003604	4	4	4	2	3	3	762	26	38	817	819	38
1	673.14229	1.499e-30	0.01163	0.0298	0.298	4480.3911	0.48	-0.004276	4	4	4	2	3	3	762	26	41	817	819	41
1	673.233883	2.467e-30	1.283e-05	0.0325	0.235	3264.3362	0.36	-0.007092	4	4	4	2	3	3	762	26	44	817	101	44
1	673.246539	2.551e-28	0.002851	0.054	0.315	3321.0132	0.56	-0.006	5	4	4	2	3	3	762	26	41	817	819	41
1	673.284038	5.143e-23	0.002984	0.0865	0.395	542.9058	0.75	0.00106	5	5	6	5	4	3	18	767	56	95	62	56
