2	678.010988	1.483e-30	3.38	0.0815	0.109	5523.1504	0.7	-0.000546
2	678.024623	4.171e-28	0.0001956	0.0653	0.069	2712.4795	0.69	-0.000747
2	678.02466	1.717e-30	3.726	0.0804	0.107	5531.8213	0.69	-0.000562
2	678.039571	1.91e-30	3.993	0.0793	0.106	5541.2803	0.69	-0.000575
2	678.042335	7.783e-28	2.287	0.0676	0.078	4446.6978	0.75	-0.000725
2	678.052002	2.639e-28	1.118	0.0732	0.1	4346.1489	0.7	-0.000681
2	678.05572	2.066e-30	4.204	0.0783	0.105	5551.5269	0.69	-0.000581
2	678.05591	4.121e-28	1.593	0.0567	0.062	4677.3984	0.64	-0.001095
2	678.057666	1.878e-30	0.1433	0.0608	0.064	5245.8906	0.64	-0.002877
2	678.073107	2.188e-30	4.374	0.0772	0.104	5562.562	0.69	-0.000601
2	678.083301	2.573e-30	1.196	0.0664	0.071	5534.7715	0.72	-0.000775
2	678.091728	2.277e-30	4.51	0.0762	0.103	5574.3848	0.69	-0.000611
2	678.092748	9.41e-30	10.94	0.082	0.109	5384.5708	0.7	-0.000463
2	678.111585	2.337e-30	4.624	0.0752	0.102	5586.9956	0.69	-0.000624
2	678.118697	7.528e-25	1.674	0.0692	0.093	2881.2439	0.74	-0.000704
2	678.132674	2.369e-30	4.717	0.0744	0.102	5600.394	0.69	-0.000636
2	678.136867	2.193e-26	1.324	0.0798	0.107	3390.8379	0.69	-0.000527
2	678.144633	2.477e-30	1.998	0.0698	0.095	5499.8755	0.73	-0.000684
2	678.147937	1.597e-29	1.132	0.0671	0.075	5123.8296	0.73	-0.000749
2	678.154995	2.377e-30	4.797	0.0736	0.101	5614.5806	0.69	-0.000642
2	678.165655	2.123e-30	1.616	0.0676	0.078	5589.9448	0.75	-0.000718
2	678.178547	2.362e-30	4.864	0.0729	0.1	5629.5547	0.7	-0.000651
2	678.190326	2.173e-30	2.108	0.0607	0.064	5771.4731	0.64	-0.001024
2	678.203327	2.327e-30	4.921	0.0723	0.099	5645.3164	0.71	-0.000666
2	678.20462	3.926e-30	4.262	0.0809	0.108	5389.1865	0.7	-0.000505
2	678.225854	1.062e-28	1.247	0.0831	0.111	4418.5181	0.71	-0.000421
2	678.229333	2.275e-30	4.972	0.0717	0.098	5661.8657	0.71	-0.000672
2	678.242672	1.657e-28	3.911	0.0714	0.098	4739.6128	0.71	-0.000646
2	678.2449	3.955e-27	6.491	0.0809	0.108	4053.0664	0.7	-0.000505
2	678.246422	5.844e-28	2.295	0.0674	0.076	4515.5146	0.74	-0.000721
2	678.256565	2.207e-30	5.015	0.0712	0.098	5679.2026	0.72	-0.000671
